"Gene" "photon" "pl" "cdc" "color_numeric" "Tot" "Sig"
"LAMA5" -7.52540241162624 -15.7150529219513 -7.46603592386443 0 -30.706491257442 "No"
"TTN" 0.33831652902013 -14.6229992040362 -11.518492303883 0 -25.8031749788991 "No"
"MIR23AHG" -5.64777225628231 -2.72033892749113 -16.8516502824082 0 -25.2197614661816 "No"
"HELZ2" 3.58961812577036 -21.2369422173185 -7.17432970344005 0 -24.8216537949882 "No"
"NBEAL1" -3.9901321137906 -17.5250698349329 -2.73794370062086 0 -24.2531456493444 "No"
"MEGF6" -8.96477258296075 -9.92026050395988 -4.86194203679236 0 -23.746975123713 "No"
"CEP43" -2.69401821471334 -2.40648631790463 -17.9132748953033 0 -23.0137794279213 "No"
"RNF115" 0.0966800092118382 -0.0773090902374293 -22.1231131631883 0 -22.1037422442139 "No"
"SRSF6" -3.21692693752995 0.615104538773627 -19.5002386560897 0 -22.102061054846 "No"
"STK36" -5.46243553678447 -9.29196277132921 -7.2745543613189 0 -22.0289526694326 "No"
"DST" -1.48427231258166 -19.1007822272488 -1.38810405008311 0 -21.9731585899136 "No"
"TMOD3" -6.00530913016588 -1.28442706599479 -14.3683266347298 0 -21.6580628308905 "No"
"RAP1B" -1.92112877782 0.86264605565735 -20.3745415907522 0 -21.4330243129149 "No"
"NUDT4" -1.47075154747997 -1.93882270995986 -17.2695151323932 0 -20.679089389833 "No"
"NRDE2" -4.81398205770099 -2.3538396712336 -13.3917433804985 0 -20.5595651094331 "No"
"RBM23" -5.93557517430729 -0.524360233740613 -14.001253301206 0 -20.4611887092539 "No"
"TNPO2" -3.55446320356432 -10.0372811570723 -6.69848005043775 0 -20.2902244110744 "No"
"ARHGAP29" -1.45446958798812 -10.2423166625997 -8.12037470851914 0 -19.817160959107 "No"
"TMEM184A" -7.37361328904977 -7.2827144190164 -5.10048013230535 0 -19.7568078403715 "No"
"SBF1" 4.03460523953394 -13.3644893789054 -10.3533216643832 0 -19.6832058037547 "No"
"PTCD3" -2.7377412159211 -5.97505888891158 -10.9162797486531 0 -19.6290798534858 "No"
"DBNL" -0.623890904414584 -7.34485649669088 -11.4888640108698 0 -19.4576114119753 "No"
"ANK3" -1.14612451984972 -9.97166759168792 -8.18247712135822 0 -19.3002692328959 "No"
"MAP4K2" -1.65340074965774 -8.10464198286156 -9.51770834940763 0 -19.2757510819269 "No"
"SPEG" -1.64429620817191 -10.1818185444541 -7.40196838535242 0 -19.2280831379784 "No"
"SAMD9" -7.07857253627525 -7.09680546651389 -4.86894769543624 0 -19.0443256982254 "No"
"AHNAK2" 3.49508440115928 -21.2436875564385 -1.17721839258589 0 -18.9258215478651 "No"
"PDZD2" 3.06040537740049 -17.2468295588986 -4.73562864680998 0 -18.9220528283081 "No"
"YOD1" -2.17170993713477 -3.81603529555301 -12.8342031371498 0 -18.8219483698376 "No"
"INPPL1" -1.61315037328605 -14.7477130684578 -2.45814191677148 0 -18.8190053585153 "No"
